algo, ta, score, pf, pq, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
VAR, 1, fps, 0.0, 0.0,0.937, 0.942, 0.947, 0.938, 0.944, 0.918, 0.941, 0.945, 0.948, 0.946, 
VAR, 1, auc, 0.0, 0.0,0.486, 0.505, 0.464, 0.385, 0.488, 0.738, 0.440, 0.417, 0.377, 0.427, 
VAR, 1, fps, 0.0, 0.2,0.935, 0.917, 0.948, 0.938, 0.935, 0.941, 0.949, 0.948, 0.939, 0.949, 
VAR, 1, auc, 0.0, 0.2,0.547, 0.639, 0.417, 0.514, 0.383, 0.578, 0.265, 0.533, 0.352, 0.192, 
VAR, 1, fps, 0.0, 0.4,0.943, 0.949, 0.949, 0.947, 0.937, 1.000, 0.924, 0.940, 0.948, 0.933, 
VAR, 1, auc, 0.0, 0.4,0.531, 0.340, 0.634, 0.135, 0.541, 0.425, 0.643, 0.537, 0.364, 0.686, 
VAR, 1, fps, 0.0, 0.6000000000000001,0.947, 0.949, 0.924, 0.947, 0.947, 0.930, 0.947, 0.946, 0.948, 0.938, 
VAR, 1, auc, 0.0, 0.6000000000000001,0.432, 0.128, 0.592, 0.337, 0.371, 0.518, 0.257, 0.464, 0.444, 0.461, 
VAR, 1, fps, 0.0, 0.8,0.944, 0.944, 0.948, 0.917, 0.936, 0.946, 1.000, 0.940, 0.947, 0.944, 
VAR, 1, auc, 0.0, 0.8,0.331, 0.592, 0.362, 0.653, 0.565, 0.480, 0.509, 0.349, 0.459, 0.642, 
VAR, 1, fps, 0.0, 1.0,0.940, 1.000, 0.947, 0.943, 0.948, 0.937, 0.949, 0.948, 0.943, 0.948, 
VAR, 1, auc, 0.0, 1.0,0.354, 0.474, 0.580, 0.448, 0.436, 0.488, 0.476, 0.509, 0.647, 0.415, 
VAR, 1, fps, 0.2, 0.0,0.940, 0.947, 0.949, 0.940, 0.944, 0.944, 0.929, 0.942, 0.937, 0.944, 
VAR, 1, auc, 0.2, 0.0,0.469, 0.488, 0.309, 0.556, 0.225, 0.526, 0.482, 0.451, 0.569, 0.579, 
VAR, 1, fps, 0.2, 0.2,0.931, 0.940, 0.923, 0.947, 0.944, 0.924, 0.948, 0.945, 0.926, 1.000, 
VAR, 1, auc, 0.2, 0.2,0.667, 0.517, 0.549, 0.269, 0.442, 0.602, 0.349, 0.592, 0.488, 0.389, 
VAR, 1, fps, 0.2, 0.4,0.946, 0.948, 0.938, 0.947, 0.949, 0.938, 0.940, 0.943, 0.932, 0.945, 
VAR, 1, auc, 0.2, 0.4,0.389, 0.468, 0.341, 0.301, 0.505, 0.600, 0.536, 0.436, 0.436, 0.498, 
VAR, 1, fps, 0.2, 0.6000000000000001,0.946, 0.926, 0.949, 0.925, 0.943, 0.938, 0.949, 0.940, 0.924, 0.949, 
VAR, 1, auc, 0.2, 0.6000000000000001,0.449, 0.695, 0.285, 0.512, 0.577, 0.562, 0.356, 0.618, 0.587, 0.242, 
VAR, 1, fps, 0.2, 0.8,0.929, 0.934, 0.948, 0.947, 1.000, 0.902, 0.946, 0.931, 0.944, 0.946, 
VAR, 1, auc, 0.2, 0.8,0.549, 0.448, 0.309, 0.461, 0.482, 0.715, 0.284, 0.500, 0.644, 0.425, 
VAR, 1, fps, 0.2, 1.0,0.911, 0.933, 0.948, 0.921, 0.933, 0.948, 0.944, 0.937, 0.947, 0.947, 
VAR, 1, auc, 0.2, 1.0,0.708, 0.606, 0.232, 0.661, 0.493, 0.484, 0.594, 0.497, 0.611, 0.408, 
VAR, 1, fps, 0.4, 0.0,0.943, 0.946, 0.945, 0.921, 0.948, 0.917, 0.948, 0.947, 0.900, 0.946, 
VAR, 1, auc, 0.4, 0.0,0.534, 0.476, 0.387, 0.720, 0.468, 0.589, 0.484, 0.362, 0.598, 0.314, 
VAR, 1, fps, 0.4, 0.2,0.947, 0.944, 0.946, 0.948, 0.949, 0.934, 0.949, 0.948, 0.947, 0.940, 
VAR, 1, auc, 0.4, 0.2,0.229, 0.305, 0.340, 0.535, 0.371, 0.585, 0.537, 0.402, 0.275, 0.375, 
VAR, 1, fps, 0.4, 0.4,0.949, 0.948, 0.946, 0.947, 0.941, 0.938, 0.944, 0.948, 1.000, 0.949, 
VAR, 1, auc, 0.4, 0.4,0.442, 0.522, 0.333, 0.223, 0.495, 0.362, 0.581, 0.423, 0.345, 0.489, 
VAR, 1, fps, 0.4, 0.6000000000000001,0.938, 0.943, 0.930, 0.946, 0.947, 0.946, 0.943, 0.946, 0.918, 0.944, 
VAR, 1, auc, 0.4, 0.6000000000000001,0.659, 0.402, 0.759, 0.356, 0.246, 0.477, 0.451, 0.331, 0.729, 0.692, 
VAR, 1, fps, 0.4, 0.8,0.948, 0.947, 0.944, 0.935, 0.939, 0.934, 0.949, 0.918, 0.934, 0.943, 
VAR, 1, auc, 0.4, 0.8,0.215, 0.566, 0.704, 0.436, 0.545, 0.448, 0.227, 0.575, 0.453, 0.358, 
VAR, 1, fps, 0.4, 1.0,0.944, 0.907, 0.946, 0.944, 0.904, 0.937, 1.000, 0.934, 0.915, 1.000, 
VAR, 1, auc, 0.4, 1.0,0.406, 0.678, 0.659, 0.383, 0.703, 0.425, 0.219, 0.665, 0.718, 0.465, 
VAR, 1, fps, 0.6000000000000001, 0.0,0.947, 0.924, 0.943, 0.949, 0.936, 0.932, 0.947, 0.946, 0.946, 0.944, 
VAR, 1, auc, 0.6000000000000001, 0.0,0.293, 0.596, 0.396, 0.459, 0.442, 0.585, 0.328, 0.545, 0.442, 0.383, 
