algo, ta, score, n, p, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
VAR, 1, fps, 10, 2, 1.000, 0.875, 0.857, 0.875, 0.800, 0.667, 0.833, 0.000, 1.000, 0.875, 
VAR, 1, auc, 10, 2, 0.000, 0.222, 0.333, 0.222, 0.389, 0.833, 0.611, 0.833, 0.000, 0.222, 
VAR, 1, fps, 100, 2, 0.545, 0.286, 0.444, 0.167, 0.444, 0.722, 0.545, 0.286, 0.167, 0.000, 
VAR, 1, auc, 100, 2, 0.983, 0.996, 0.992, 0.998, 0.995, 0.968, 0.987, 0.987, 0.996, 1.000, 
VAR, 1, fps, 1000, 2, 0.533, 0.858, 0.876, 0.802, 0.438, 0.931, 0.793, 0.444, 0.020, 0.778, 
VAR, 1, auc, 1000, 2, 0.997, 0.985, 0.988, 0.995, 0.998, 0.967, 0.990, 0.996, 1.000, 0.980, 
VAR, 1, fps, 10000, 2, 0.949, 0.949, 0.944, 0.851, 0.945, 0.948, 0.744, 0.926, 0.779, 0.948, 
VAR, 1, auc, 10000, 2, 0.988, 0.988, 0.989, 0.996, 0.982, 0.985, 0.997, 0.988, 0.997, 0.983, 
VAR, 1, fps, 10, 4, 0.833, 0.000, 1.000, 0.667, 0.889, 0.000, 0.833, 0.000, 0.000, 0.833, 
VAR, 1, auc, 10, 4, 0.444, 1.000, 0.000, 0.722, 0.111, 1.000, 0.444, 1.000, 0.833, 0.444, 
VAR, 1, fps, 100, 4, 0.853, 0.444, 0.444, 0.167, 0.000, 0.583, 0.667, 0.167, 0.821, 0.643, 
VAR, 1, auc, 100, 4, 0.938, 0.987, 0.977, 0.998, 1.000, 0.985, 0.971, 0.998, 0.929, 0.963, 
VAR, 1, fps, 1000, 4, 0.468, 0.479, 0.561, 0.524, 0.808, 0.786, 0.906, 0.333, 0.664, 0.306, 
VAR, 1, auc, 1000, 4, 0.998, 0.998, 0.996, 0.998, 0.995, 0.991, 0.981, 0.997, 0.997, 0.999, 
VAR, 1, fps, 10000, 4, 0.950, 0.811, 0.943, 0.864, 0.775, 0.888, 0.801, 0.795, 0.861, 0.823, 
VAR, 1, auc, 10000, 4, 0.989, 0.997, 0.993, 0.996, 0.996, 0.990, 0.997, 0.996, 0.995, 0.995, 
VAR, 1, fps, 10, 8, 0.500, 0.667, 0.667, 0.857, 0.800, 0.800, 0.000, 0.667, 1.000, 1.000, 
VAR, 1, auc, 10, 8, 0.833, 0.778, 0.833, 0.333, 0.611, 0.556, 1.000, 0.722, 0.000, 0.000, 
