algo, ta, score, pf, pq, 1, 2
VAR, 1, fps, 0.0, 0.0, 0.946, 0.950, 
VAR, 1, auc, 0.0, 0.0, 0.458, 0.474, 
VAR, 1, fps, 0.0, 0.2, 0.937, 0.944, 
VAR, 1, auc, 0.0, 0.2, 0.760, 0.709, 
VAR, 1, fps, 0.0, 0.4, 0.751, 0.946, 
VAR, 1, auc, 0.0, 0.4, 0.980, 0.935, 
VAR, 1, fps, 0.0, 0.6000000000000001, 0.383, 0.457, 
VAR, 1, auc, 0.0, 0.6000000000000001, 0.996, 0.995, 
VAR, 1, fps, 0.0, 0.8, 0.091, 0.206, 
VAR, 1, auc, 0.0, 0.8, 0.999, 0.999, 
VAR, 1, fps, 0.0, 1.0, 0.057, 0.000, 
VAR, 1, auc, 0.0, 1.0, 0.999, 1.000, 
VAR, 1, fps, 0.2, 0.0, 0.949, 0.950, 
VAR, 1, auc, 0.2, 0.0, 0.487, 0.547, 
VAR, 1, fps, 0.2, 0.2, 0.405, 0.948, 
VAR, 1, auc, 0.2, 0.2, 0.989, 0.975, 
VAR, 1, fps, 0.2, 0.4, 0.000, 0.000, 
VAR, 1, auc, 0.2, 0.4, 1.000, 1.000, 
VAR, 1, fps, 0.2, 0.6000000000000001, 0.057, 0.000, 
VAR, 1, auc, 0.2, 0.6000000000000001, 0.998, 1.000, 
VAR, 1, fps, 0.2, 0.8, 0.000, 0.000, 
VAR, 1, auc, 0.2, 0.8, 1.000, 1.000, 
VAR, 1, fps, 0.2, 1.0, 0.943, 0.000, 
VAR, 1, auc, 0.2, 1.0, 0.982, 1.000, 
VAR, 1, fps, 0.4, 0.0, 0.949, 1.000, 
VAR, 1, auc, 0.4, 0.0, 0.523, 0.465, 
VAR, 1, fps, 0.4, 0.2, 0.020, 0.926, 
VAR, 1, auc, 0.4, 0.2, 1.000, 0.986, 
VAR, 1, fps, 0.4, 0.4, 0.000, 0.000, 
VAR, 1, auc, 0.4, 0.4, 1.000, 1.000, 
VAR, 1, fps, 0.4, 0.6000000000000001, 0.000, 0.000, 
VAR, 1, auc, 0.4, 0.6000000000000001, 1.000, 1.000, 
VAR, 1, fps, 0.4, 0.8, 0.000, 0.000, 
VAR, 1, auc, 0.4, 0.8, 1.000, 1.000, 
VAR, 1, fps, 0.4, 1.0, 0.000, 0.020, 
VAR, 1, auc, 0.4, 1.0, 1.000, 1.000, 
VAR, 1, fps, 0.6000000000000001, 0.0, 0.949, 0.949, 
VAR, 1, auc, 0.6000000000000001, 0.0, 0.487, 0.524, 
VAR, 1, fps, 0.6000000000000001, 0.2, 0.057, 0.000, 
VAR, 1, auc, 0.6000000000000001, 0.2, 0.998, 1.000, 
VAR, 1, fps, 0.6000000000000001, 0.4, 0.876, 0.873, 
VAR, 1, auc, 0.6000000000000001, 0.4, 0.993, 0.993, 
VAR, 1, fps, 0.6000000000000001, 0.6000000000000001, 0.000, 0.000, 
VAR, 1, auc, 0.6000000000000001, 0.6000000000000001, 1.000, 1.000, 
