algo, ta, n, p, score, noise, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
VAR, 1, 1000, 32, fps, 0.0, 0.946, 0.950, 0.933, 0.948, 0.950, 0.950, 0.945, 0.945, 0.949, 0.941, 0.949, 0.948, 0.949, 0.948, 0.948, 0.950, 0.949, 0.946, 0.947, 0.945, 
VAR, 1, 1000, 32, auc, 0.0, 0.567, 0.524, 0.716, 0.506, 0.550, 0.481, 0.550, 0.639, 0.532, 0.573, 0.517, 0.473, 0.487, 0.495, 0.522, 0.408, 0.435, 0.545, 0.502, 0.548, 
VAR, 1, 1000, 32, fps, 0.05, 0.000, 0.038, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.864, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.886, 0.057, 0.000, 0.000, 
VAR, 1, 1000, 32, auc, 0.05, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.993, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.992, 0.999, 1.000, 1.000, 
VAR, 1, 1000, 32, fps, 0.1, 0.000, 0.000, 0.020, 0.947, 0.000, 0.940, 0.000, 0.947, 0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 0.916, 0.057, 0.885, 0.000, 0.000, 0.000, 
VAR, 1, 1000, 32, auc, 0.1, 1.000, 1.000, 1.000, 0.981, 1.000, 0.983, 1.000, 0.981, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.989, 0.999, 0.992, 1.000, 1.000, 1.000, 
VAR, 1, 1000, 32, fps, 0.15000000000000002, 0.940, 0.000, 0.057, 0.057, 0.000, 0.000, 0.938, 0.020, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 0.000, 0.000, 0.932, 0.000, 0.000, 
VAR, 1, 1000, 32, auc, 0.15000000000000002, 0.984, 1.000, 1.000, 0.999, 1.000, 1.000, 0.984, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.986, 1.000, 1.000, 
VAR, 1, 1000, 32, fps, 0.2, 0.057, 0.038, 0.845, 0.038, 0.000, 0.000, 0.231, 0.000, 0.020, 0.057, 0.038, 0.074, 0.074, 0.000, 0.874, 0.000, 0.000, 0.020, 0.583, 0.074, 
VAR, 1, 1000, 32, auc, 0.2, 1.000, 1.000, 0.994, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.997, 1.000, 1.000, 0.993, 1.000, 1.000, 1.000, 0.999, 1.000, 
VAR, 1, 1000, 32, fps, 0.25, 0.057, 0.057, 0.907, 0.038, 0.020, 0.167, 0.000, 0.074, 0.038, 0.153, 0.038, 0.020, 0.074, 0.074, 0.107, 0.038, 0.020, 0.231, 0.123, 0.167, 
VAR, 1, 1000, 32, auc, 0.25, 1.000, 1.000, 0.990, 1.000, 1.000, 0.999, 1.000, 0.997, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 
VAR, 1, 1000, 32, fps, 0.30000000000000004, 0.432, 0.831, 0.206, 0.107, 0.872, 0.180, 0.254, 0.495, 0.180, 0.686, 0.315, 0.673, 0.206, 0.138, 0.701, 0.375, 0.948, 0.265, 0.383, 0.219, 
VAR, 1, 1000, 32, auc, 0.30000000000000004, 0.998, 0.994, 0.999, 0.999, 0.993, 0.999, 0.999, 0.999, 0.999, 0.995, 0.999, 0.998, 0.999, 0.999, 0.995, 0.998, 0.980, 0.998, 0.999, 0.999, 
VAR, 1, 1000, 32, fps, 0.35000000000000003, 0.432, 0.789, 0.597, 0.908, 0.648, 0.914, 0.874, 0.561, 0.569, 0.615, 0.783, 0.561, 0.716, 0.686, 0.645, 0.545, 0.242, 0.930, 0.576, 0.606, 
VAR, 1, 1000, 32, auc, 0.35000000000000003, 0.997, 0.989, 0.998, 0.980, 0.995, 0.984, 0.978, 0.995, 0.996, 0.997, 0.995, 0.996, 0.991, 0.995, 0.996, 0.998, 0.998, 0.979, 0.997, 0.997, 
VAR, 1, 1000, 32, fps, 0.4, 0.603, 0.937, 0.910, 0.869, 0.695, 0.923, 0.902, 0.908, 0.612, 0.528, 0.943, 0.383, 0.713, 0.922, 0.864, 0.801, 0.725, 0.845, 0.885, 0.917, 
VAR, 1, 1000, 32, auc, 0.4, 0.993, 0.975, 0.976, 0.985, 0.992, 0.975, 0.980, 0.973, 0.990, 0.994, 0.972, 0.998, 0.994, 0.979, 0.988, 0.990, 0.993, 0.976, 0.984, 0.958, 
VAR, 1, 1000, 32, fps, 0.45, 0.949, 0.844, 0.853, 0.949, 0.890, 0.691, 0.833, 0.922, 0.930, 0.895, 0.902, 0.911, 0.934, 0.886, 0.923, 0.609, 0.876, 0.924, 0.930, 0.947, 
VAR, 1, 1000, 32, auc, 0.45, 0.930, 0.971, 0.981, 0.900, 0.984, 0.989, 0.967, 0.965, 0.943, 0.969, 0.971, 0.961, 0.956, 0.958, 0.956, 0.994, 0.975, 0.959, 0.961, 0.964, 
VAR, 1, 1000, 32, fps, 0.5, 0.929, 0.858, 0.949, 0.923, 0.949, 0.939, 0.894, 0.917, 0.922, 0.857, 0.859, 0.947, 0.937, 0.943, 0.928, 0.942, 0.909, 0.934, 0.926, 0.945, 
VAR, 1, 1000, 32, auc, 0.5, 0.915, 0.974, 0.921, 0.937, 0.925, 0.941, 0.935, 0.945, 0.940, 0.966, 0.973, 0.917, 0.936, 0.961, 0.943, 0.918, 0.932, 0.940, 0.953, 0.938, 
VAR, 1, 1000, 32, fps, 0.55, 0.916, 0.939, 0.948, 0.939, 0.938, 0.948, 0.950, 0.943, 0.935, 0.932, 0.946, 0.946, 0.949, 0.945, 0.933, 0.942, 0.943, 0.896, 0.909, 0.920, 
VAR, 1, 1000, 32, auc, 0.55, 0.905, 0.892, 0.889, 0.916, 0.897, 0.864, 0.923, 0.891, 0.897, 0.921, 0.891, 0.915, 0.931, 0.905, 0.868, 0.942, 0.891, 0.939, 0.927, 0.910, 
VAR, 1, 1000, 32, fps, 0.6000000000000001, 0.947, 0.947, 0.949, 0.940, 0.949, 0.950, 0.927, 0.948, 0.941, 0.943, 0.916, 0.925, 0.941, 0.945, 0.931, 0.949, 0.933, 0.910, 0.925, 0.917, 
VAR, 1, 1000, 32, auc, 0.6000000000000001, 0.879, 0.911, 0.880, 0.874, 0.886, 0.865, 0.896, 0.896, 0.915, 0.912, 0.950, 0.928, 0.908, 0.872, 0.925, 0.949, 0.862, 0.919, 0.863, 0.919, 
VAR, 1, 1000, 32, fps, 0.65, 0.939, 0.934, 0.939, 0.941, 0.938, 0.947, 0.942, 0.946, 0.947, 0.940, 0.947, 0.934, 0.947, 0.921, 0.932, 0.928, 0.950, 0.925, 0.929, 0.949, 
VAR, 1, 1000, 32, auc, 0.65, 0.822, 0.838, 0.893, 0.902, 0.835, 0.833, 0.909, 0.838, 0.871, 0.853, 0.780, 0.870, 0.826, 0.891, 0.858, 0.891, 0.851, 0.911, 0.859, 0.861, 
VAR, 1, 1000, 32, fps, 0.7000000000000001, 0.936, 0.942, 0.948, 0.930, 0.928, 0.949, 0.950, 0.943, 0.946, 0.931, 0.927, 0.937, 0.943, 0.947, 1.000, 0.947, 0.944, 0.937, 0.945, 0.945, 
VAR, 1, 1000, 32, auc, 0.7000000000000001, 0.858, 0.837, 0.792, 0.869, 0.827, 0.857, 0.762, 0.856, 0.765, 0.842, 0.862, 0.830, 0.819, 0.804, 0.792, 0.742, 0.820, 0.927, 0.878, 0.784, 
VAR, 1, 1000, 32, fps, 0.75, 0.949, 0.941, 0.950, 0.948, 0.949, 0.926, 0.948, 0.945, 0.950, 0.946, 0.947, 0.945, 0.942, 0.939, 0.933, 0.945, 0.947, 0.945, 0.950, 0.929, 
VAR, 1, 1000, 32, auc, 0.75, 0.826, 0.875, 0.832, 0.763, 0.752, 0.822, 0.761, 0.794, 0.733, 0.749, 0.815, 0.857, 0.792, 0.847, 0.833, 0.795, 0.804, 0.822, 0.796, 0.834, 
VAR, 1, 1000, 32, fps, 0.8, 0.944, 0.949, 0.940, 0.944, 0.939, 0.945, 0.949, 0.950, 0.948, 0.948, 0.945, 0.932, 0.942, 0.949, 0.948, 0.949, 0.949, 0.935, 0.945, 0.945, 
VAR, 1, 1000, 32, auc, 0.8, 0.782, 0.723, 0.798, 0.795, 0.780, 0.789, 0.683, 0.752, 0.788, 0.728, 0.818, 0.789, 0.841, 0.816, 0.792, 0.737, 0.810, 0.793, 0.737, 0.817, 
