algo, name, norm, score, 0, 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
VAR, SMTP, False, fpr, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997
VAR, SMTP, False, auc, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191, 0.8191
VAR, SMTP, True, fpr, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996
VAR, SMTP, True, auc, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597, 0.8597
FRO, SMTP, False, fpr, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997
FRO, SMTP, False, auc, 0.7709, 0.7712, 0.7713, 0.7706, 0.7712, 0.7710, 0.7706, 0.7710, 0.7709, 0.7710, 0.7712, 0.7712, 0.7713, 0.7708, 0.7712, 0.7708, 0.7708, 0.7709, 0.7709, 0.7709, 0.7712, 0.7706, 0.7709, 0.7708, 0.7712, 0.7705, 0.7711, 0.7711, 0.7710, 0.7704, 0.7709, 0.7707
FRO, SMTP, True, fpr, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997
FRO, SMTP, True, auc, 0.8152, 0.8147, 0.8156, 0.8156, 0.8157, 0.8155, 0.8151, 0.8152, 0.8148, 0.8157, 0.8149, 0.8161, 0.8159, 0.8154, 0.8147, 0.8154, 0.8150, 0.8157, 0.8147, 0.8159, 0.8152, 0.8149, 0.8152, 0.8155, 0.8151, 0.8155, 0.8151, 0.8158, 0.8152, 0.8152, 0.8148, 0.8150
FRL, SMTP, False, fpr, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997
FRL, SMTP, False, auc, 0.7765, 0.7764, 0.7766, 0.7765, 0.7763, 0.7760, 0.7765, 0.7762, 0.7765, 0.7766, 0.7768, 0.7767, 0.7767, 0.7764, 0.7764, 0.7766, 0.7767, 0.7765, 0.7768, 0.7766, 0.7765, 0.7764, 0.7764, 0.7765, 0.7767, 0.7766, 0.7763, 0.7766, 0.7762, 0.7768, 0.7766, 0.7768
FRL, SMTP, True, fpr, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997
FRL, SMTP, True, auc, 0.8166, 0.8166, 0.8162, 0.8162, 0.8159, 0.8170, 0.8163, 0.8164, 0.8168, 0.8163, 0.8161, 0.8163, 0.8158, 0.8162, 0.8159, 0.8160, 0.8164, 0.8156, 0.8162, 0.8165, 0.8161, 0.8156, 0.8160, 0.8169, 0.8158, 0.8165, 0.8162, 0.8161, 0.8159, 0.8166, 0.8161, 0.8161
