VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238
FRO, MSL, True, auc, 0.5469, 0.5464, 0.5461, 0.5470, 0.5463, 0.5464, 0.5465, 0.5463, 0.5464, 0.5466, 0.5470, 0.5465, 0.5464, 0.5471, 0.5461, 0.5470, 0.5467, 0.5466, 0.5468, 0.5471, 0.5464, 0.5462, 0.5461, 0.5456, 0.5462, 0.5476, 0.5468, 0.5469, 0.5473, 0.5463, 0.5467, 0.5468
FRO, MSL, True, f1b, 0.7843, 0.7479, 0.7470, 0.7843, 0.7843, 0.7479, 0.7479, 0.7470, 0.7479, 0.7479, 0.7843, 0.7479, 0.7479, 0.7843, 0.7479, 0.7843, 0.7479, 0.7843, 0.7479, 0.7843, 0.7479, 0.7479, 0.7479, 0.7470, 0.7479, 0.7843, 0.7843, 0.7843, 0.7843, 0.7470, 0.7470, 0.7843
FRL, MSL, True, fpr, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238
FRL, MSL, True, auc, 0.5467, 0.5468, 0.5469, 0.5468, 0.5468, 0.5468, 0.5467, 0.5469, 0.5469, 0.5470, 0.5469, 0.5469, 0.5469, 0.5468, 0.5469, 0.5469, 0.5469, 0.5469, 0.5469, 0.5470, 0.5468, 0.5469, 0.5468, 0.5468, 0.5468, 0.5469, 0.5468, 0.5469, 0.5469, 0.5469, 0.5469, 0.5470
FRL, MSL, True, f1b, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479
FRR, MSL, True, fpr, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238
FRR, MSL, True, auc, 0.5466, 0.5467, 0.5465, 0.5467, 0.5466, 0.5467, 0.5465, 0.5466, 0.5465, 0.5466, 0.5465, 0.5464, 0.5465, 0.5464, 0.5468, 0.5463, 0.5467, 0.5466, 0.5462, 0.5465, 0.5463, 0.5465, 0.5466, 0.5466, 0.5464, 0.5460, 0.5463, 0.5466, 0.5468, 0.5465, 0.5465, 0.5468
FRR, MSL, True, f1b, 0.7479, 0.7479, 0.7479, 0.7488, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7470, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7479, 0.7470, 0.7479, 0.7470, 0.7479, 0.7479, 0.7479, 0.7479
OCSVM, MSL, True, fpr, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238
