VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.7011, 0.7014, 0.7011, 0.7011, 0.6981, 0.7018, 0.7010, 0.7027, 0.7029, 0.7025, 0.7024, 0.7029, 0.7029, 0.7029, 0.7011, 0.7025, 0.7025, 0.7011, 0.7029, 0.6987, 0.7024, 0.7014, 0.6981, 0.7028, 0.7011, 0.7027, 0.7011, 0.7025, 0.7011, 0.7014, 0.7013, 0.7011
FRO, MSL, True, auc, 0.5199, 0.5152, 0.5203, 0.5193, 0.5223, 0.5155, 0.5210, 0.5229, 0.5436, 0.5213, 0.5265, 0.5378, 0.5234, 0.5227, 0.5204, 0.5316, 0.5184, 0.5215, 0.5365, 0.5210, 0.5260, 0.5235, 0.5227, 0.5210, 0.5209, 0.5237, 0.5197, 0.5290, 0.5199, 0.5423, 0.5201, 0.5192
FRO, MSL, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.8000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRL, MSL, True, fpr, 0.7028, 0.7018, 0.7027, 0.7022, 0.7027, 0.7022, 0.6994, 0.7027, 0.7029, 0.7017, 0.7029, 0.7028, 0.7025, 0.7028, 0.7016, 0.7029, 0.7029, 0.7018, 0.7017, 0.7028, 0.7027, 0.7016, 0.7025, 0.7022, 0.7028, 0.7016, 0.7017, 0.7022, 0.7017, 0.7022, 0.7024, 0.7029
FRL, MSL, True, auc, 0.4498, 0.4566, 0.4514, 0.4499, 0.4502, 0.4501, 0.4580, 0.4502, 0.4499, 0.4562, 0.4577, 0.4519, 0.4591, 0.4496, 0.4504, 0.4498, 0.4499, 0.4566, 0.4562, 0.4572, 0.4502, 0.4504, 0.4569, 0.4497, 0.4498, 0.4578, 0.4501, 0.4500, 0.4502, 0.4501, 0.4571, 0.4575
FRL, MSL, True, f1b, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000, 0.8000
FRR, MSL, True, fpr, 0.7013, 0.7028, 0.7014, 0.6980, 0.7024, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7011, 0.7029, 0.7011, 0.7028, 0.7000, 0.7020, 0.7011, 0.7029, 0.7013, 0.7028, 0.7011, 0.6980, 0.7011, 0.7014, 0.7011, 0.7013, 0.7021, 0.7028, 0.7000, 0.7000, 0.7021, 0.7028
FRR, MSL, True, auc, 0.5203, 0.5257, 0.5239, 0.5234, 0.5158, 0.5206, 0.5237, 0.5217, 0.5212, 0.5206, 0.5200, 0.5211, 0.5201, 0.5239, 0.5208, 0.5214, 0.5195, 0.5210, 0.5196, 0.5209, 0.5211, 0.5238, 0.5203, 0.5238, 0.5210, 0.5203, 0.5175, 0.5210, 0.5218, 0.5224, 0.5206, 0.5222
FRR, MSL, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.8000, 1.0000
OCSVM, MSL, True, fpr, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029, 0.7029
