VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117
FRO, MSL, True, auc, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6247, 0.6248, 0.6248, 0.6248
FRO, MSL, True, f1b, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769
FRL, MSL, True, fpr, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117
FRL, MSL, True, auc, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247, 0.6247
FRL, MSL, True, f1b, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769
FRR, MSL, True, fpr, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117
FRR, MSL, True, auc, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248, 0.6248
FRR, MSL, True, f1b, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769, 0.5769
OCSVM, MSL, True, fpr, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117
