VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514
FRO, MSL, True, auc, 0.7340, 0.7340, 0.7340, 0.7340, 0.7328, 0.7341, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7336, 0.7340, 0.7340, 0.7328, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340
FRO, MSL, True, f1b, 0.9709, 0.9709, 0.9709, 0.9709, 0.0887, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.0887, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709
FRL, MSL, True, fpr, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514
FRL, MSL, True, auc, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340
FRL, MSL, True, f1b, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709
FRR, MSL, True, fpr, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514
FRR, MSL, True, auc, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340, 0.7340
FRR, MSL, True, f1b, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709, 0.9709
OCSVM, MSL, True, fpr, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
