VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.9860, 0.9860, 0.9859, 0.9860, 0.9913, 0.9915, 0.9859, 0.9860, 0.9859, 0.9859, 0.9859, 0.9859, 0.9861, 0.9860, 0.9859, 0.9859, 0.9861, 0.9913, 0.9859, 0.9859, 0.9860, 0.9860, 0.9914, 0.9859, 0.9859, 0.9859, 0.9860, 0.9860, 0.9914, 0.9859, 0.9859, 0.9859
FRO, MSL, True, auc, 0.4377, 0.4367, 0.4406, 0.4403, 0.4405, 0.4414, 0.4403, 0.4361, 0.4414, 0.4381, 0.4404, 0.4447, 0.4382, 0.4357, 0.4406, 0.4402, 0.4366, 0.5719, 0.4413, 0.4432, 0.4429, 0.4388, 0.4430, 0.4392, 0.4390, 0.4382, 0.4410, 0.4392, 0.4368, 0.4400, 0.4448, 0.4406
FRO, MSL, True, f1b, 0.0285, 0.0280, 0.0282, 0.0289, 0.0283, 0.0292, 0.0282, 0.0283, 0.0284, 0.0281, 0.0282, 0.0289, 0.0295, 0.0283, 0.0282, 0.0282, 0.0292, 0.0274, 0.0284, 0.0288, 0.0292, 0.0285, 0.0292, 0.0282, 0.0281, 0.0281, 0.0289, 0.0288, 0.0287, 0.0282, 0.0289, 0.0282
FRL, MSL, True, fpr, 0.9914, 0.9914, 0.9917, 0.9914, 0.9913, 0.9914, 0.9918, 0.9914, 0.9914, 0.9914, 0.9917, 0.9914, 0.9914, 0.9914, 0.9918, 0.9914, 0.9914, 0.9914, 0.9914, 0.9917, 0.9914, 0.9914, 0.9914, 0.9914, 0.9914, 0.9914, 0.9917, 0.9914, 0.9914, 0.9914, 0.9914, 0.9914
FRL, MSL, True, auc, 0.4332, 0.4366, 0.4554, 0.4332, 0.4531, 0.4332, 0.4472, 0.4332, 0.4332, 0.4332, 0.4524, 0.4332, 0.4332, 0.4332, 0.4460, 0.4366, 0.4332, 0.6013, 0.4332, 0.4554, 0.4364, 0.4449, 0.4332, 0.4332, 0.4332, 0.4332, 0.4543, 0.4332, 0.4332, 0.4332, 0.4451, 0.4417
FRL, MSL, True, f1b, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0290, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301, 0.0301
FRR, MSL, True, fpr, 0.9860, 0.9859, 0.9913, 0.9860, 0.9859, 0.9859, 0.9913, 0.9913, 0.9914, 0.9859, 0.9859, 0.9859, 0.9916, 0.9860, 0.9859, 0.9916, 0.9859, 0.9913, 0.9859, 0.9860, 0.9911, 0.9860, 0.9859, 0.9913, 0.9859, 0.9915, 0.9859, 0.9860, 0.9860, 0.9916, 0.9860, 0.9861
FRR, MSL, True, auc, 0.4385, 0.4444, 0.4382, 0.4404, 0.4449, 0.4439, 0.4410, 0.4394, 0.4442, 0.4440, 0.4422, 0.4402, 0.4411, 0.4432, 0.4402, 0.4328, 0.4462, 0.4429, 0.4416, 0.4394, 0.4446, 0.4425, 0.4422, 0.4387, 0.4443, 0.4343, 0.4403, 0.4420, 0.4427, 0.4410, 0.4386, 0.4359
FRR, MSL, True, f1b, 0.0283, 0.0289, 0.0284, 0.0286, 0.0289, 0.0289, 0.0293, 0.0283, 0.0289, 0.0290, 0.0283, 0.0282, 0.0295, 0.0295, 0.0282, 0.0292, 0.0292, 0.0287, 0.0282, 0.0283, 0.0289, 0.0293, 0.0284, 0.0285, 0.0289, 0.0295, 0.0282, 0.0294, 0.0290, 0.0295, 0.0284, 0.0288
OCSVM, MSL, True, fpr, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917
