VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.9941, 0.9929, 0.9913, 0.9929, 0.9942, 0.9940, 0.9928, 0.9929, 0.9940, 0.9940, 0.9929, 0.9929, 0.9940, 0.9940, 0.9924, 0.9929, 0.9941, 0.9929, 0.9920, 0.9921, 0.9922, 0.9921, 0.9940, 0.9929, 0.9929, 0.9943, 0.9929, 0.9918, 0.9920, 0.9921, 0.9929, 0.9918
FRO, MSL, True, auc, 0.6014, 0.7107, 0.8236, 0.6920, 0.6716, 0.6400, 0.5936, 0.7102, 0.6181, 0.6331, 0.6674, 0.7176, 0.6475, 0.6405, 0.7674, 0.7107, 0.6480, 0.7102, 0.7404, 0.7341, 0.7087, 0.8115, 0.4825, 0.7033, 0.7102, 0.6970, 0.7133, 0.8176, 0.7535, 0.7485, 0.7033, 0.7379
FRO, MSL, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRL, MSL, True, fpr, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940
FRL, MSL, True, auc, 0.7440, 0.7440, 0.7440, 0.7440, 0.7440, 0.7440, 0.7440, 0.7440, 0.7440, 0.7440, 0.7440, 0.7440, 0.7440, 0.7440, 0.7440, 0.7477, 0.7440, 0.7440, 0.7440, 0.7514, 0.7440, 0.7440, 0.7440, 0.7440, 0.7440, 0.7440, 0.7440, 0.7440, 0.7440, 0.7440, 0.7514, 0.7440
FRL, MSL, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRR, MSL, True, fpr, 0.9929, 0.9924, 0.9918, 0.9929, 0.9924, 0.9924, 0.9924, 0.9924, 0.9924, 0.9921, 0.9924, 0.9940, 0.9940, 0.9924, 0.9924, 0.9929, 0.9929, 0.9924, 0.9924, 0.9924, 0.9929, 0.9919, 0.9929, 0.9924, 0.9929, 0.9940, 0.9924, 0.9924, 0.9924, 0.9924, 0.9940, 0.9929
FRR, MSL, True, auc, 0.7102, 0.7743, 0.8045, 0.7094, 0.7818, 0.7674, 0.7674, 0.7674, 0.7748, 0.7772, 0.7748, 0.6331, 0.6393, 0.7551, 0.7674, 0.7102, 0.7033, 0.7736, 0.7674, 0.7743, 0.7033, 0.8051, 0.7033, 0.7736, 0.7169, 0.6208, 0.7879, 0.7736, 0.7736, 0.7743, 0.6405, 0.7107
FRR, MSL, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
OCSVM, MSL, True, fpr, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940, 0.9940
