VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.9234, 0.9234, 0.9233, 0.9234, 0.9234, 0.9506, 0.9505, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9233, 0.9234, 0.9234, 0.9234, 0.9506, 0.9506, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234
FRO, MSL, True, auc, 0.3623, 0.3635, 0.3682, 0.3626, 0.3628, 0.3716, 0.3575, 0.3630, 0.3626, 0.3632, 0.3627, 0.3621, 0.3633, 0.3633, 0.3645, 0.3632, 0.3625, 0.3626, 0.3629, 0.3663, 0.3641, 0.3627, 0.3638, 0.3626, 0.3626, 0.3632, 0.3627, 0.3635, 0.3624, 0.3636, 0.3625, 0.3636
FRO, MSL, True, f1b, 0.1974, 0.1970, 0.9877, 0.1972, 0.1972, 0.9917, 0.9836, 0.1970, 0.1969, 0.1972, 0.1972, 0.1972, 0.1970, 0.1972, 0.1974, 0.1974, 0.1974, 0.1972, 1.0000, 0.9917, 0.1972, 0.1972, 0.1972, 0.1974, 0.1969, 0.1974, 0.1970, 0.1972, 0.1974, 0.1972, 0.1974, 0.1972
FRL, MSL, True, fpr, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234
FRL, MSL, True, auc, 0.3624, 0.3625, 0.3626, 0.3626, 0.3625, 0.3625, 0.3626, 0.3626, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3626, 0.3625, 0.3625, 0.3625, 0.3626, 0.3626, 0.3625, 0.3625, 0.3626, 0.3625, 0.3626, 0.3626, 0.3625, 0.3626, 0.3625, 0.3626, 0.3626, 0.3625, 0.3625
FRL, MSL, True, f1b, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974
FRR, MSL, True, fpr, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9506, 0.9234, 0.9234, 0.9234, 0.9506, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234, 0.9234
FRR, MSL, True, auc, 0.3633, 0.3638, 0.3634, 0.3633, 0.3633, 0.3625, 0.3629, 0.3631, 0.3624, 0.3628, 0.3626, 0.3629, 0.3637, 0.3624, 0.3630, 0.3629, 0.3631, 0.3633, 0.3629, 0.3633, 0.3627, 0.3598, 0.3635, 0.3630, 0.3638, 0.3629, 0.3634, 0.3634, 0.3633, 0.3629, 0.3630, 0.3626
FRR, MSL, True, f1b, 0.1974, 0.1969, 0.1974, 0.1972, 0.1972, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1972, 0.1974, 0.1969, 0.1970, 0.1974, 1.0000, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1970, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974, 0.1974
OCSVM, MSL, True, fpr, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506
