VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9863, 0.9862, 0.9863, 0.9863, 0.9863, 0.9863, 0.9862, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9862, 0.9863, 0.9863, 0.9863, 0.9863, 0.9862, 0.9863, 0.9863, 0.9862, 0.9863, 0.9862, 0.9862, 0.9863, 0.9862, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863
FRO, SMAP, True, auc, 0.4009, 0.4011, 0.4010, 0.4009, 0.4005, 0.4010, 0.4007, 0.4008, 0.4006, 0.4008, 0.4009, 0.4007, 0.4009, 0.4011, 0.4008, 0.4006, 0.4009, 0.4009, 0.4009, 0.4010, 0.4010, 0.4012, 0.4008, 0.4010, 0.4007, 0.4009, 0.4014, 0.4008, 0.4009, 0.4008, 0.4009, 0.4008
FRO, SMAP, True, f1b, 0.0818, 0.0818, 0.0819, 0.0819, 0.0269, 0.0821, 0.0818, 0.0820, 0.0817, 0.0818, 0.0818, 0.0269, 0.0818, 0.0822, 0.0821, 0.0269, 0.0819, 0.0817, 0.0819, 0.0821, 0.0269, 0.0822, 0.0817, 0.0269, 0.0269, 0.0819, 0.0821, 0.0819, 0.0269, 0.0269, 0.0818, 0.0269
FRL, SMAP, True, fpr, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863
FRL, SMAP, True, auc, 0.3804, 0.3805, 0.3804, 0.3804, 0.3805, 0.3804, 0.3804, 0.3804, 0.3804, 0.3804, 0.3804, 0.3804, 0.3804, 0.3804, 0.3805, 0.3804, 0.3804, 0.3804, 0.3805, 0.3804, 0.3804, 0.3804, 0.3804, 0.3804, 0.3805, 0.3804, 0.3806, 0.3804, 0.3804, 0.3804, 0.3805, 0.3805
FRL, SMAP, True, f1b, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837
FRR, SMAP, True, fpr, 0.9863, 0.9863, 0.9863, 0.9862, 0.9863, 0.9863, 0.9862, 0.9863, 0.9863, 0.9863, 0.9862, 0.9863, 0.9863, 0.9863, 0.9862, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9862, 0.9862, 0.9862, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863
FRR, SMAP, True, auc, 0.4005, 0.4006, 0.4004, 0.4006, 0.4005, 0.4005, 0.4009, 0.4004, 0.4003, 0.4006, 0.4008, 0.4001, 0.4005, 0.4005, 0.4008, 0.4008, 0.4007, 0.4004, 0.4005, 0.4006, 0.4005, 0.4004, 0.4008, 0.4008, 0.4008, 0.4004, 0.4005, 0.4004, 0.4006, 0.4007, 0.4007, 0.4006
FRR, SMAP, True, f1b, 0.0819, 0.0820, 0.0818, 0.0822, 0.0818, 0.0821, 0.0822, 0.0822, 0.0818, 0.0821, 0.0821, 0.0818, 0.0821, 0.0818, 0.0818, 0.0824, 0.0821, 0.0821, 0.0822, 0.0818, 0.0818, 0.0819, 0.0822, 0.0817, 0.0822, 0.0818, 0.0818, 0.0818, 0.0821, 0.0822, 0.0821, 0.0821
OCSVM, SMAP, True, fpr, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863
OCSVM, SMAP, True, auc, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248, 0.4248
