VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9888, 0.9888, 0.9888, 0.9889, 0.9888, 0.9889, 0.9889, 0.9888, 0.9889, 0.9889, 0.9889, 0.9889, 0.9888, 0.9888, 0.9889, 0.9889, 0.9888, 0.9888, 0.9888, 0.9888, 0.9889, 0.9889, 0.9889, 0.9889, 0.9888, 0.9888, 0.9888, 0.9888, 0.9889, 0.9888, 0.9888, 0.9889
FRO, SMAP, True, auc, 0.6976, 0.6974, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6974, 0.6976, 0.6976, 0.6976, 0.6975, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6975, 0.6976, 0.6974, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6975
FRO, SMAP, True, f1b, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458
FRL, SMAP, True, fpr, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853
FRL, SMAP, True, auc, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939, 0.6939
FRL, SMAP, True, f1b, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458
FRR, SMAP, True, fpr, 0.9888, 0.9889, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888, 0.9888
FRR, SMAP, True, auc, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976, 0.6976
FRR, SMAP, True, f1b, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458, 0.0458
OCSVM, SMAP, True, fpr, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901
OCSVM, SMAP, True, auc, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022
