VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.5087, 1.0000, 1.0000, 1.0000, 0.5088, 0.5088, 0.5093, 0.5083, 0.5089, 0.5087, 0.5092, 0.5079, 0.5093, 0.5082, 0.5087, 0.5085, 1.0000, 1.0000, 1.0000, 1.0000, 0.5087, 0.5091, 1.0000, 0.5080, 0.5089, 0.5087, 0.5090, 0.5090, 0.5082, 0.5090, 0.5089, 0.5085
FRO, SMAP, True, auc, 0.8212, 0.8219, 0.8223, 0.8210, 0.8224, 0.8214, 0.8224, 0.8227, 0.8214, 0.8217, 0.8215, 0.8212, 0.8214, 0.8221, 0.8221, 0.8214, 0.8212, 0.8231, 0.8227, 0.8228, 0.8217, 0.8225, 0.8219, 0.8232, 0.8218, 0.8218, 0.8220, 0.8208, 0.8219, 0.8210, 0.8217, 0.8213
FRO, SMAP, True, f1b, 1.0000, 1.0000, 0.6583, 0.6583, 1.0000, 1.0000, 1.0000, 0.6583, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.6583, 1.0000, 1.0000, 0.6583, 1.0000, 1.0000, 1.0000, 1.0000, 0.6583, 1.0000, 1.0000, 1.0000, 1.0000
FRL, SMAP, True, fpr, 0.5059, 0.5091, 0.5059, 0.5093, 0.5091, 0.5091, 0.5032, 0.5032, 0.5059, 0.5059, 0.5032, 0.5091, 0.5091, 0.5091, 0.5032, 0.5091, 0.5059, 0.5059, 0.5059, 0.5091, 0.5059, 0.5091, 0.5091, 0.5059, 0.5091, 0.5059, 0.5032, 0.5059, 0.5091, 0.5091, 0.5059, 0.5059
FRL, SMAP, True, auc, 0.9516, 0.9520, 0.9517, 0.9516, 0.9520, 0.9520, 0.9518, 0.9518, 0.9517, 0.9517, 0.9518, 0.9520, 0.9520, 0.9521, 0.9518, 0.9521, 0.9517, 0.9517, 0.9517, 0.9520, 0.9517, 0.9521, 0.9520, 0.9517, 0.9521, 0.9517, 0.9518, 0.9518, 0.9521, 0.9520, 0.9517, 0.9517
FRL, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRR, SMAP, True, fpr, 0.5093, 0.5093, 0.5092, 0.5089, 0.5085, 0.5091, 0.5090, 0.5092, 0.5090, 0.5093, 0.5091, 0.5083, 0.5092, 0.5083, 0.5091, 0.5089, 0.5091, 0.5091, 0.5085, 0.5089, 0.5087, 0.5091, 0.5085, 0.5089, 0.5085, 0.5085, 0.5086, 1.0000, 0.5088, 0.5089, 0.5085, 0.5082
FRR, SMAP, True, auc, 0.8225, 0.8225, 0.8236, 0.8231, 0.8232, 0.8242, 0.8228, 0.8234, 0.8233, 0.8238, 0.8216, 0.8228, 0.8229, 0.8225, 0.8222, 0.8232, 0.8214, 0.8235, 0.8233, 0.8234, 0.8225, 0.8226, 0.8242, 0.8228, 0.8221, 0.8224, 0.8240, 0.8223, 0.8216, 0.8225, 0.8234, 0.8221
FRR, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
OCSVM, SMAP, True, fpr, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
OCSVM, SMAP, True, auc, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980, 0.1980
