VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.8249, 0.8252, 0.8252, 0.8255, 0.8251, 0.8351, 0.8252, 0.8254, 0.8248, 0.8254, 0.8249, 0.8247, 0.8253, 0.8250, 0.8251, 0.8255, 0.8248, 0.8250, 0.8247, 0.8249, 0.8253, 0.8248, 0.8252, 0.8245, 0.8248, 0.8314, 0.8249, 0.8250, 0.8247, 0.8252, 0.8252, 0.8250
FRO, SMAP, True, auc, 0.5978, 0.6001, 0.5970, 0.5968, 0.5990, 0.5975, 0.5988, 0.6008, 0.5993, 0.5974, 0.5996, 0.5997, 0.6001, 0.6001, 0.5994, 0.5994, 0.5979, 0.5986, 0.5995, 0.5980, 0.5961, 0.5986, 0.5987, 0.6008, 0.5992, 0.5991, 0.5992, 0.5992, 0.5991, 0.5987, 0.5978, 0.5987
FRO, SMAP, True, f1b, 0.2814, 0.2814, 1.0000, 0.2814, 0.2814, 0.8584, 0.8581, 0.2814, 0.8581, 0.8586, 0.2814, 0.8581, 0.2814, 0.2814, 1.0000, 0.2814, 0.8581, 0.2814, 0.2814, 0.8581, 0.2814, 0.8581, 1.0000, 0.2814, 0.2814, 0.2814, 0.2814, 0.2814, 0.2814, 0.2814, 0.2814, 0.2814
FRL, SMAP, True, fpr, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334
FRL, SMAP, True, auc, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321, 0.5321
FRL, SMAP, True, f1b, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586, 0.8586
FRR, SMAP, True, fpr, 0.8247, 0.8249, 0.8252, 0.8248, 0.8249, 0.8251, 0.8250, 0.8253, 0.8252, 0.8255, 0.8254, 0.8254, 0.8250, 0.8251, 0.8248, 0.8247, 0.8249, 0.8251, 0.8249, 0.8250, 0.8255, 0.8253, 0.8252, 0.8254, 0.8250, 0.8249, 0.8249, 0.8251, 0.8249, 0.8252, 0.8254, 0.8252
FRR, SMAP, True, auc, 0.5981, 0.5973, 0.6001, 0.5989, 0.5989, 0.5997, 0.5988, 0.5972, 0.5962, 0.5962, 0.5985, 0.5975, 0.5989, 0.5973, 0.5984, 0.5981, 0.5978, 0.5979, 0.5972, 0.5969, 0.5962, 0.5960, 0.5972, 0.5974, 0.5989, 0.5972, 0.5987, 0.5972, 0.5979, 0.5989, 0.5970, 0.5981
FRR, SMAP, True, f1b, 0.8581, 0.8586, 0.8586, 0.8581, 0.8581, 0.8581, 0.8581, 0.8581, 0.8581, 0.8586, 0.8586, 0.8586, 0.8584, 0.8586, 0.8586, 0.8581, 0.8586, 0.8581, 0.8581, 0.8586, 0.8584, 0.8581, 0.8581, 0.8581, 0.8586, 0.8581, 0.8581, 0.8581, 0.8581, 0.8581, 0.8586, 0.8586
OCSVM, SMAP, True, fpr, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334, 0.8334
OCSVM, SMAP, True, auc, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179, 0.5179
