VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.6573, 0.6572, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6572, 0.6573, 0.6573, 0.6573, 0.6573, 0.6572, 0.6573, 0.6573, 0.6572, 0.6573, 0.6573, 0.6573, 0.6573, 0.6572, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573
FRO, SMAP, True, auc, 0.4933, 0.4935, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4935, 0.4933, 0.4933, 0.4933, 0.4933, 0.4935, 0.4933, 0.4933, 0.4936, 0.4933, 0.4933, 0.4933, 0.4933, 0.4935, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933
FRO, SMAP, True, f1b, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104
FRL, SMAP, True, fpr, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573
FRL, SMAP, True, auc, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933
FRL, SMAP, True, f1b, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870
FRR, SMAP, True, fpr, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573
FRR, SMAP, True, auc, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933
FRR, SMAP, True, f1b, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870, 0.9870
OCSVM, SMAP, True, fpr, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573
OCSVM, SMAP, True, auc, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933
