VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9951, 0.9950, 0.9950, 0.9950, 0.9950, 0.9951, 0.9950, 0.9950, 0.9951, 0.9951, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9951, 0.9951, 0.9950, 0.9951, 0.9950, 0.9951, 0.9950, 0.9950, 0.9951, 0.9950, 0.9951, 0.9951, 0.9950, 0.9951, 0.9950
FRO, SMAP, True, auc, 0.5332, 0.5335, 0.5335, 0.5335, 0.5335, 0.5332, 0.5335, 0.5335, 0.5332, 0.5332, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5332, 0.5332, 0.5335, 0.5332, 0.5335, 0.5332, 0.5335, 0.5335, 0.5332, 0.5335, 0.5332, 0.5332, 0.5335, 0.5332, 0.5335
FRO, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRL, SMAP, True, fpr, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951
FRL, SMAP, True, auc, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332
FRL, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRR, SMAP, True, fpr, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951
FRR, SMAP, True, auc, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332
FRR, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
OCSVM, SMAP, True, fpr, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951
OCSVM, SMAP, True, auc, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332
