VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411
FRO, SMAP, True, auc, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049
FRO, SMAP, True, f1b, 1.0000, 0.1070, 0.1070, 0.1070, 0.1070, 0.1070, 0.1070, 0.1070, 1.0000, 0.1070, 0.1070, 0.1070, 1.0000, 0.1070, 0.1070, 0.1070, 1.0000, 0.1070, 1.0000, 1.0000, 0.1070, 1.0000, 0.1070, 0.1070, 0.1070, 0.1070, 1.0000, 0.1070, 1.0000, 0.1070, 1.0000, 1.0000
FRL, SMAP, True, fpr, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411
FRL, SMAP, True, auc, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049
FRL, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRR, SMAP, True, fpr, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411
FRR, SMAP, True, auc, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049
FRR, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
OCSVM, SMAP, True, fpr, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411, 0.9411
OCSVM, SMAP, True, auc, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049, 0.5049
