VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9886, 0.9886, 0.9884, 0.9886, 0.9886, 0.9884, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9884, 0.9886, 0.9886, 0.9886, 0.9885, 0.9884, 0.9884, 0.9886, 0.9886, 0.9884, 0.9884, 0.9886, 0.9886, 0.9886, 0.9884, 0.9886, 0.9886, 0.9884, 0.9886, 0.9886, 0.9886
FRO, SMAP, True, auc, 0.5005, 0.5005, 0.5082, 0.5005, 0.5005, 0.5082, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5082, 0.5005, 0.5005, 0.5005, 0.5015, 0.5082, 0.5082, 0.5005, 0.5005, 0.5082, 0.5082, 0.5005, 0.5005, 0.5005, 0.5082, 0.5005, 0.5005, 0.5082, 0.5005, 0.5005, 0.5005
FRO, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRL, SMAP, True, fpr, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886
FRL, SMAP, True, auc, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005
FRL, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRR, SMAP, True, fpr, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886
FRR, SMAP, True, auc, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005
FRR, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
OCSVM, SMAP, True, fpr, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886
OCSVM, SMAP, True, auc, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005
