VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9383, 0.9383, 0.9383, 0.9384, 0.9382, 0.9383, 0.9384, 0.9383, 0.9383, 0.9383, 0.9383, 0.9383, 0.9383, 0.9382, 0.9383, 0.9383, 0.9382, 0.9382, 0.9384, 0.9383, 0.9383, 0.9383, 0.9383, 0.9382, 0.9383, 0.9383, 0.9381, 0.9383, 0.9383, 0.9386, 0.9383, 0.9383
FRO, SMAP, True, auc, 0.4964, 0.4944, 0.4947, 0.4944, 0.4955, 0.4963, 0.4963, 0.4949, 0.4964, 0.4964, 0.4970, 0.4982, 0.4964, 0.4977, 0.4966, 0.4950, 0.4963, 0.4963, 0.4965, 0.4942, 0.4964, 0.4965, 0.4943, 0.4967, 0.4970, 0.4963, 0.4966, 0.4980, 0.4965, 0.4927, 0.4970, 0.4964
FRO, SMAP, True, f1b, 0.4170, 0.1149, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.1149, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.1149, 0.4170, 0.4170, 0.1149, 0.4170, 0.4170, 0.4170, 0.1149, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170
FRL, SMAP, True, fpr, 0.9297, 0.9297, 0.9299, 0.9299, 0.9297, 0.9299, 0.9299, 0.9299, 0.9297, 0.9299, 0.9299, 0.9299, 0.9299, 0.9299, 0.9299, 0.9299, 0.9297, 0.9299, 0.9297, 0.9299, 0.9299, 0.9299, 0.9299, 0.9299, 0.9298, 0.9299, 0.9299, 0.9299, 0.9299, 0.9299, 0.9298, 0.9297
FRL, SMAP, True, auc, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268, 0.4268
FRL, SMAP, True, f1b, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170
FRR, SMAP, True, fpr, 0.9384, 0.9383, 0.9383, 0.9384, 0.9383, 0.9384, 0.9383, 0.9383, 0.9383, 0.9383, 0.9383, 0.9384, 0.9383, 0.9384, 0.9383, 0.9383, 0.9384, 0.9383, 0.9383, 0.9383, 0.9383, 0.9383, 0.9384, 0.9384, 0.9386, 0.9383, 0.9383, 0.9384, 0.9383, 0.9383, 0.9383, 0.9383
FRR, SMAP, True, auc, 0.4959, 0.4965, 0.4961, 0.4961, 0.4962, 0.4977, 0.4958, 0.4981, 0.4961, 0.4958, 0.4958, 0.4961, 0.4975, 0.4959, 0.4958, 0.4958, 0.4961, 0.4961, 0.4969, 0.4965, 0.4958, 0.4958, 0.4961, 0.4958, 0.4940, 0.4958, 0.4963, 0.4961, 0.4963, 0.4969, 0.4958, 0.4958
FRR, SMAP, True, f1b, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170, 0.4170
OCSVM, SMAP, True, fpr, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298, 0.9298
OCSVM, SMAP, True, auc, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155, 0.4155
