VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9738, 0.9738, 0.9737, 0.9738, 0.9738, 0.9737, 0.9738, 0.9738, 0.9737, 0.9737, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9737, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9737, 0.9738, 0.9738
FRO, SMAP, True, auc, 0.5022, 0.5055, 0.5029, 0.5024, 0.5022, 0.5029, 0.5024, 0.5022, 0.5029, 0.5029, 0.5022, 0.5022, 0.5022, 0.5027, 0.5022, 0.5022, 0.5024, 0.5022, 0.5022, 0.5024, 0.5024, 0.5029, 0.5024, 0.5022, 0.5022, 0.5022, 0.5022, 0.5024, 0.5022, 0.5029, 0.5022, 0.5022
FRO, SMAP, True, f1b, 0.0415, 0.0415, 1.0000, 0.0415, 1.0000, 1.0000, 0.0415, 0.0415, 1.0000, 0.0415, 1.0000, 0.0415, 0.0415, 1.0000, 1.0000, 0.0415, 1.0000, 0.0415, 0.0415, 0.0415, 1.0000, 0.0415, 1.0000, 1.0000, 1.0000, 0.0415, 1.0000, 1.0000, 1.0000, 1.0000, 0.0415, 0.0415
FRL, SMAP, True, fpr, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738
FRL, SMAP, True, auc, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022
FRL, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRR, SMAP, True, fpr, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738
FRR, SMAP, True, auc, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022
FRR, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
OCSVM, SMAP, True, fpr, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738
OCSVM, SMAP, True, auc, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022
