VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 1.0000, 0.8988, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.8988, 1.0000, 1.0000, 1.0000, 1.0000
FRO, SMD, True, auc, 0.4470, 0.4483, 0.4475, 0.4493, 0.4493, 0.4452, 0.4485, 0.4461, 0.4483, 0.4477, 0.4469, 0.4500, 0.4467, 0.4462, 0.4479, 0.4467, 0.4468, 0.4486, 0.4475, 0.4470, 0.4470, 0.4475, 0.4473, 0.4466, 0.4478, 0.4486, 0.4460, 0.4476, 0.4468, 0.4477, 0.4477, 0.4484
FRO, SMD, True, f1b, 0.9927, 0.9929, 0.9929, 0.9929, 0.9929, 0.9925, 0.9929, 0.9929, 0.9929, 0.9925, 0.9929, 0.9929, 0.9929, 0.9927, 0.9923, 0.9929, 0.9929, 0.9925, 0.9929, 0.9921, 0.9929, 0.9929, 0.9929, 0.9929, 0.9929, 0.9927, 0.9929, 0.9929, 0.9929, 0.9929, 0.9925, 0.9929
FRL, SMD, True, fpr, 0.8911, 0.8911, 0.8912, 0.8911, 0.8912, 0.8912, 0.8911, 0.8911, 0.8912, 0.8911, 0.8911, 0.8911, 0.8912, 0.8911, 0.8911, 0.8912, 0.8911, 0.8911, 0.8911, 0.8912, 0.8911, 0.8911, 0.8911, 0.8911, 0.8911, 0.8912, 0.8911, 0.8912, 0.8911, 0.8911, 0.8911, 0.8912
FRL, SMD, True, auc, 0.5182, 0.5181, 0.5181, 0.5183, 0.5180, 0.5178, 0.5181, 0.5181, 0.5179, 0.5181, 0.5181, 0.5181, 0.5181, 0.5180, 0.5181, 0.5179, 0.5181, 0.5183, 0.5182, 0.5179, 0.5181, 0.5181, 0.5181, 0.5183, 0.5183, 0.5180, 0.5180, 0.5180, 0.5182, 0.5180, 0.5182, 0.5181
FRL, SMD, True, f1b, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977, 0.9977
FRR, SMD, True, fpr, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8986, 0.8987, 0.8986, 0.8986, 0.8986
FRR, SMD, True, auc, 0.5136, 0.5118, 0.5119, 0.5089, 0.5142, 0.5110, 0.5144, 0.5120, 0.5125, 0.5132, 0.5118, 0.5124, 0.5110, 0.5131, 0.5100, 0.5129, 0.5112, 0.5136, 0.5119, 0.5180, 0.5110, 0.5122, 0.5128, 0.5104, 0.5116, 0.5079, 0.5133, 0.5126, 0.5122, 0.5118, 0.5102, 0.5131
FRR, SMD, True, f1b, 0.9917, 0.9908, 0.9908, 0.9908, 0.9908, 0.9912, 0.9908, 0.9917, 0.9908, 0.9919, 0.9919, 0.9914, 0.9910, 0.9910, 0.9917, 0.9917, 0.9912, 0.9908, 0.9917, 0.9910, 0.9919, 0.9908, 0.9908, 0.9912, 0.9908, 0.9914, 0.9914, 0.9917, 0.9912, 0.9910, 0.9912, 0.9912
